precision,recall,F1,method,data
0.42138364779874216,0.21095717884130982,0.28115820394460767,decomp+Chang+IQR,Twitter_volume_AAPL
0.4581818181818182,0.07974683544303797,0.13584905660377355,Chang,Twitter_volume_AMZN
0.3409090909090909,0.028481012658227847,0.052570093457943924,decomp+Chang,Twitter_volume_AMZN
0.3804347826086957,0.022151898734177215,0.041866028708133975,decomp+IQR,Twitter_volume_AMZN
0.3584905660377358,0.036075949367088606,0.06555491661874639,decomp+Chang+IQR,Twitter_volume_AMZN
0.6153846153846154,0.06528562460765851,0.11804767309875142,Chang,Twitter_volume_CRM
0.34074074074074073,0.028876333961079723,0.053240740740740734,decomp+Chang,Twitter_volume_CRM
0.47533632286995514,0.06654111738857502,0.11674008810572686,decomp+IQR,Twitter_volume_CRM
0.45555555555555555,0.07721280602636535,0.1320450885668277,decomp+Chang+IQR,Twitter_volume_CRM
0.5,0.14613368283093053,0.22616632860040567,Chang,Twitter_volume_CVS
0.2634146341463415,0.035386631716906945,0.06239168110918544,decomp+Chang,Twitter_volume_CVS
0.10191780821917808,0.2437745740498034,0.1437403400309119,decomp+IQR,Twitter_volume_CVS
0.10358021317299809,0.24836173001310616,0.14619093539054967,decomp+Chang+IQR,Twitter_volume_CVS
0.1409090909090909,0.019595448798988623,0.03440621531631521,Chang,Twitter_volume_FB
0.13488372093023257,0.018331226295828066,0.032276015581524764,decomp+Chang,Twitter_volume_FB
0.10437710437710437,0.019595448798988623,0.03299627461415647,decomp+IQR,Twitter_volume_FB
0.12,0.028445006321112517,0.045988758303525806,decomp+Chang+IQR,Twitter_volume_FB
0.2641509433962264,0.04888268156424581,0.08249852681202122,Chang,Twitter_volume_GOOG
0.26996197718631176,0.04958100558659218,0.08377581120943953,decomp+Chang,Twitter_volume_GOOG
0.302491103202847,0.05935754189944134,0.099241097489784,decomp+IQR,Twitter_volume_GOOG
0.2868020304568528,0.07891061452513966,0.12376779846659364,decomp+Chang+IQR,Twitter_volume_GOOG
0.44753086419753085,0.09119496855345911,0.1515151515151515,Chang,Twitter_volume_IBM
0.2192513368983957,0.02578616352201258,0.04614518851997749,decomp+Chang,Twitter_volume_IBM
0.16964285714285715,0.02389937106918239,0.04189636163175304,decomp+IQR,Twitter_volume_IBM
0.19230769230769232,0.03459119496855346,0.05863539445628998,decomp+Chang+IQR,Twitter_volume_IBM
0.38773946360153255,0.3188405797101449,0.3499308437067773,Chang,Twitter_volume_KO
0.26744186046511625,0.043478260869565216,0.07479674796747966,decomp+Chang,Twitter_volume_KO
0.24296675191815856,0.05986137366099559,0.096056622851365,decomp+IQR,Twitter_volume_KO
0.2686230248306998,0.07498424700693132,0.11724137931034484,decomp+Chang+IQR,Twitter_volume_KO
0.2602739726027397,0.023929471032745592,0.04382929642445213,Chang,Twitter_volume_PFE
0.26,0.02455919395465995,0.04487917146144994,decomp+Chang,Twitter_volume_PFE
0.2100456621004566,0.05793450881612091,0.09081934846989143,decomp+IQR,Twitter_volume_PFE
0.21136363636363636,0.058564231738035266,0.09171597633136096,decomp+Chang+IQR,Twitter_volume_PFE
0.22137404580152673,0.07318611987381704,0.11000474158368896,Chang,Twitter_volume_UPS
0.2374727668845316,0.06876971608832808,0.1066536203522505,decomp+Chang,Twitter_volume_UPS
0.27090909090909093,0.09400630914826498,0.1395784543325527,decomp+IQR,Twitter_volume_UPS
0.2594202898550725,0.11293375394321767,0.15736263736263736,decomp+Chang+IQR,Twitter_volume_UPS
